threshold,exit_count,fallback_count,exit_percentage,exited_accuracy,fallback_accuracy,cascade_accuracy,cascade_agreement
0.5,3890,1000,79.55010224948876,82.2107969151671,86.1,83.00613496932515,89.6319018404908
0.6,3230,1660,66.05316973415133,86.13003095975232,88.19277108433735,86.83026584867075,93.96728016359918
0.7,2644,2246,54.06952965235174,89.22087745839636,88.780053428317,89.01840490797545,96.40081799591002
0.75,2309,2581,47.21881390593047,90.47206582936336,89.46144905075553,89.93865030674847,97.4642126789366
0.8,1969,2921,40.26584867075665,92.28034535297105,89.48990071893186,90.61349693251533,98.28220858895705
0.85,1630,3260,33.333333333333336,93.55828220858896,90.0,91.18609406952966,98.93660531697341
0.9,1204,3686,24.621676891615543,95.265780730897,90.50461204557786,91.67689161554192,99.4478527607362
0.92,996,3894,20.368098159509202,95.78313253012048,90.78068823831535,91.79959100204499,99.59100204498978
0.95,660,4230,13.496932515337424,96.06060606060606,91.32387706855792,91.96319018404908,99.79550102249489
0.97,412,4478,8.425357873210634,96.84466019417476,91.73738276016078,92.1676891615542,100.0
0.99,96,4794,1.9631901840490797,93.75,92.13600333750522,92.1676891615542,100.0
